game_id,total_elapsed_s,score_diff,wp_caller
2022020059,3567,0,0.4996473331091444
2022020110,3475,-1,0.08768128796355426
2022020255,3514,-1,0.07992344069204102
2022020469,3501,-1,0.08028438177044064
2022020562,3793,0,0.5342430884534922
2022020902,2721,0,0.5450183276044968
2022020957,3221,2,0.98139947817619
2022020987,3570,1,0.9503822557491226
2022021114,3534,-1,0.07331988598596406
2022021146,3551,-1,0.06722129770755271
2022021294,3584,-1,0.05517260163854459
2022020049,3487,2,0.9938277993696886
2022020074,3777,0,0.5342430884534922
2022020789,3551,-1,0.06421143071307858
2022021125,664,-1,0.3928137317193951
2022021205,2230,-1,0.311011469857037
2022021218,1682,-3,0.08432561099033961
2022021246,3624,0,0.5342430884534922
2022021298,3572,-1,0.05862959511127697
2022020361,3430,0,0.5390212874425626
2022020761,85,-2,0.22923360490555833
2022020930,3522,-2,0.006010116821911664
2022021076,3843,0,0.5342430884534922
2022021157,3468,-1,0.08960026005018468
2022020024,3482,-1,0.0857338758872987
2022020097,3460,-1,0.09176117913275081
2022020590,3785,0,0.5220248987850972
2022020739,232,-2,0.22971255890894457
2022021012,3839,0,0.5220248987850972
2022021120,2842,1,0.8393774752335313
2022020089,2251,-3,0.05235974150013492
2022020424,2705,2,0.9432426659038892
2022020840,3560,-1,0.06372714885734618
2022021013,611,-3,0.12723386955863636
2022020193,3795,0,0.5342430884534922
2022020275,3860,0,0.5220248987850972
2022020292,3489,-2,0.007849460255264583
2022020501,2530,-4,0.009525160735239057
2022020555,3578,-1,0.05579976679562046
2022020890,3650,0,0.5342430884534922
2022020387,3435,-2,0.011094561098272565
2022020605,3472,-2,0.0088380109343357
2022020687,765,-4,0.06544139390391623
2022020747,3577,-1,0.058950744598547725
2022021286,3474,-2,0.008720170254718555
2022020045,3524,-2,0.006196391031025591
2022020135,1713,-3,0.08243164223014818
2022020634,2210,2,0.9083627019390886
2022020656,3522,-1,0.0773415614369302
2022020839,3508,-1,0.08181548488641088
2022020971,3526,-2,0.005793495056608143
2022021133,3392,-2,0.013902861779952437
2022021188,3548,-1,0.07152817940061369
2022020016,3489,-3,0.0006515458684515893
2022020223,3496,-1,0.08550038562137088
2022020330,3429,-2,0.011474367882251878
2022020471,3525,-1,0.07635409025913974
2022020551,3597,-1,0.04329666207623475
2022020785,999,1,0.7283198079575129
2022020837,3556,-1,0.06237825970267247
2022020955,3071,0,0.54263017685344
2022021269,3556,0,0.5244705332151707
2022020485,1906,-1,0.33974593518182794
2022020623,3559,-1,0.06713322073602215
2022020727,3557,-1,0.06491743996185106
2022020735,3557,-1,0.06491743996185106
2022020815,3427,-2,0.011601838018107578
2022020381,1735,1,0.7518717990138476
2022020606,1515,0,0.5263391908670307
2022020744,3531,-1,0.0743440078878326
2022020881,3839,0,0.5342430884534922
2022020922,1670,-3,0.08505229063847335
2022021098,3552,-2,0.004198236244749421
2022021118,3499,0,0.5379315324608279
2022020444,1995,-1,0.3112280985490124
2022020488,3521,-1,0.07766828194293758
2022020591,3530,-2,0.005578025217730418
2022020756,3806,0,0.5342430884534922
2022020781,3493,-1,0.08640299511029004
2022020975,3526,-1,0.07602241701051597
2022021156,3533,-1,0.07366275558419512
2022021190,3553,-2,0.004355451854352113
2022020034,673,-3,0.1261624075172834
2022020146,1506,-3,0.0945682922486622
2022020406,135,-2,0.22949666742102204
2022020439,3538,-1,0.07193263873151408
2022020923,3561,0,0.5365393972739719
