mu,V_optimal_at_start_tied,V_naive_at_start_tied,optimal_minus_naive_WP_points,empirical_minus_naive_WP_points,EU_loss_WP_points_per_team_game,fraction_of_optimal_captured,mean_empirical_call_value
0.005,0.5007973812903703,0.49999999999999567,0.0007973812903746547,8.673020308351086e-05,0.0007106510872911438,0.1087687962213913,0.0014576504719917792
0.01,0.5015947625807449,0.49999999999999567,0.0015947625807491983,0.000173460406167022,0.0014213021745821763,0.10876879622139905,0.002915300943983563
0.02,0.5031895251614946,0.49999999999999567,0.0031895251614989517,0.00034692081233404385,0.002842604349164908,0.10876879622138008,0.005830601887967124
0.03,0.5047842877422447,0.49999999999999567,0.004784287742249038,0.0005203812185010646,0.004263906523747973,0.10876879622136594,0.008745902831950666
