game_id,calling_side,score_diff_pre,elapsed_pre,elapsed_post,wp_caller_pre,wp_caller_post,delta_wp
2022020059,home,0,3567,3876,0.5241437736525111,0.5220248987850972,-0.0021188748674139113
2022020110,home,-1,3475,3600,0.08768128796355426,0.0012259755486056392,-0.08645531241494862
2022020255,home,-1,3514,3816,0.0763914072001468,0.5220248987850972,0.44563349158495036
2022020469,home,-1,3501,3600,0.08028438177044064,4.114916350330176e-05,-0.08024323260693735
2022020562,home,0,3793,3600,0.5220248987850972,0.9989719931838715,0.47694709439877436
2022020902,home,0,2721,3026,0.5328356291056359,0.5307851244468473,-0.0020505046587885323
2022020957,home,2,3221,3536,0.9795223102967888,0.9958970805400535,0.016374770243264725
2022020987,home,1,3570,3600,0.9526439312716494,0.9702184100346217,0.017574478762972356
2022021114,home,-1,3534,3600,0.07005746071989462,0.035321007106373044,-0.034736453613521574
2022021146,home,-1,3551,3600,0.06421143071307858,0.035321007106373044,-0.02889042360670554
2022021294,home,-1,3584,3600,0.05027823852676964,0.035321007106373044,-0.014957231420396594
2022020049,home,2,3487,3600,0.9938277993696886,0.9989719931838715,0.005144193814182962
2022020074,home,0,3777,3889,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022020789,home,-1,3551,3617,0.06421143071307858,0.9702184100346217,0.9060069793215432
2022021125,home,-1,664,964,0.36968672377505374,0.7078504458320597,0.33816372205700596
2022021205,home,-1,2230,2531,0.29039719496727595,0.2573584523560184,-0.033038742611257554
2022021218,home,-3,1682,1994,0.08432561099033961,0.06446119032942964,-0.019864420660909973
2022021246,home,0,3624,3750,0.5220248987850972,0.9702184100346217,0.44819351124952456
2022021298,home,-1,3572,3600,0.055981337975189144,0.035321007106373044,-0.0206603308688161
2022020361,home,0,3430,3758,0.5268174240503484,0.5220248987850972,-0.004792525265251202
2022020761,home,-2,85,385,0.22923360490555833,0.2292264919286965,-7.112976861817222e-06
2022020930,home,-2,3522,3600,0.00572419160261694,0.0012259755486056392,-0.004498216054011301
2022021076,home,0,3843,3600,0.5220248987850972,0.9989719931838715,0.47694709439877436
2022021157,home,-1,3468,3600,0.08960026005018468,0.0012259755486056392,-0.08837428450157904
2022020024,home,-1,3482,3600,0.0857338758872987,0.035321007106373044,-0.05041286878092565
2022020097,home,-1,3460,3600,0.09176117913275081,0.035321007106373044,-0.056440172026377765
2022020590,home,0,3785,3600,0.5220248987850972,0.035321007106373044,-0.48670389167872413
2022020739,home,-2,232,551,0.22971255890894457,0.2274856159053922,-0.002226943003552362
